,Cities,Lat,Temperature,Humidity,Cloudiness,Wind Speed
523,shatsk,53.99558206848107,74.29,69,92,2.71
524,obo,6.182035513731591,68.71,97,32,6.06
525,totness,6.155265043941895,85.82,78,90,4.7
526,gambela,8.102843186233102,63.76,90,44,2.71
527,fortuna,37.81161691110549,80.02,69,20,8.05
528,the valley,21.161132165566812,86.94,62,75,14.99
529,zell am see,47.44153205604496,75.2,60,20,1.12
530,benicarlo,39.8936035984963,79.96,99,0,8.63
531,unye,42.21954822258053,,,,
532,zorritos,-3.1035144001654658,75.2,73,75,9.17
533,barcelos,-0.3296218573263303,81.91,35,0,8.05
534,san jose,6.941431235986926,72.31,100,100,1.7
535,port-gentil,-5.752430494414483,75.2,83,75,12.75
536,tarnalelesz,48.07979994430764,76.54,53,0,3.49
537,inuvik,66.14697359284838,52.84,93,75,5.82
538,morant bay,16.218505669702125,89.6,66,40,23.04
539,santa rosa,-37.750411521264894,51.34,37,0,11.88
540,talnakh,69.41066173395868,42.79,91,0,7.29
541,murakami,38.71764957326923,56.02,93,32,2.59
542,chinhoyi,-17.579819387808186,65.74,29,0,9.98
543,manggar,-3.631544774117657,78.52,86,0,9.64
544,shelopugino,51.245850027738555,48.37,89,0,2.37
545,dharmadam,11.227801671357781,68.89,97,92,1.92
546,port shepstone,-36.41193565669487,64.21,83,0,11.43
547,oyama,30.29682522805375,64.4,100,75,3.36
548,pingliang,35.65380501044483,60.79,91,36,2.37
549,eirunepe,-7.431282160224285,92.47,51,0,1.7
550,oskemen,49.83819346833323,60.8,87,75,2.24
551,udachnyy,67.72780489745563,52.6,96,8,4.05
552,la palma,5.338958184525808,81.4,62,8,2.04
553,tura,68.5766071479681,76.27,97,56,2.93
554,kargil,35.95574259109031,38.65,90,76,1.25
555,nome,65.0387279454506,91.31,52,20,11.41
556,jardim,-2.0233071609759747,91.57,31,64,9.64
557,bilibino,71.58898385211208,35.05,87,92,4.5
558,la paz,24.11112359888247,96.8,28,20,5.82
559,umm jarr,14.226035816820257,,,,
560,la carlota,37.705482512166256,72.76,95,88,2.59
561,aykhal,63.96954666342674,49.45,90,32,4.16
562,prado,-17.420095933744207,75.82,97,0,10.98
563,mehamn,81.9415912324774,50.71,100,92,14.12
564,tongliao,44.01701707825464,70.33,88,88,11.32
565,clayton,39.887385744828265,75.2,50,1,14.99
566,teneguiban,12.223437470785754,,,,
567,isla aguada,18.67418295081835,86,66,75,14.99
568,quatre cocos,-17.602313786362814,73.4,69,40,17.22
569,ocampo,27.101109790175272,79.69,94,24,11.65
570,bjornevatn,69.28346264982545,54.27,82,40,8.05
571,xining,33.66098009809697,48.01,92,8,2.59
572,saint-die,48.33428718615764,,,,
573,zatyshshya,47.46679204979512,78.79,50,48,3.15
574,areka,7.522764704208072,59.44,95,76,2.15
575,boguchany,58.96811007668106,63.4,78,0,2.59
576,saint-joseph,-26.30005188725619,81.84,51,0,3.36
577,saint andrews,44.796612375952236,28.3,100,36,1.14
578,kieta,2.789125340349699,75.37,100,56,3.6
579,sam roi yot,12.120563458384012,75.73,91,88,3.94
580,torres,-29.76956194697587,70.15,77,0,5.61
581,iquitos,-2.748807517986492,91.4,55,75,4.7
582,salalah,11.78835430302665,75.2,100,90,2.24
583,russell,-30.15172889220564,51.8,40,0,6.93
584,caceres,39.52413720324668,81.4,62,8,2.04
585,thaba-tseka,-30.124748107342164,34.78,63,0,4.16
586,smithers,59.30320093377918,66.2,45,40,4.7
587,cururupu,-1.4453209160006253,87.52,59,12,13
588,petropavlovsk-kamchatskiy,47.715903588972935,51.8,100,90,2.24
589,soyo,-7.752739796418652,73.75,76,0,5.73
590,sindor,63.662971556464555,62.41,66,0,9.08
591,natitingou,10.767950505974383,77,78,75,5.82
592,krasnoselkup,65.96829067989196,,,,
593,ruteng,-8.75590255084036,65.56,92,0,3.15
594,los llanos de aridane,28.330215219846835,73.4,73,75,14.99
595,vardo,79.03511585155945,75.67,61,90,3.36
596,thinadhoo,-0.3141871940848091,81.67,100,88,12.88
597,longyearbyen,80.62482947698066,46.4,70,75,6.93
598,leshukonskoye,67.61235945502989,69.16,60,88,10.98
599,kapit,1.2415190758930805,73.39,93,24,1.92
600,marzuq,22.816316118147853,78.34,34,32,3.38
601,sigayevo,56.32498156600619,49.81,88,12,2.59
602,jalu,28.33372314429853,92.11,31,0,10.98
603,mandawar,29.54544660416478,78.79,94,12,3.38
604,berzence,46.19116170224339,75.2,78,0,1.12
605,tumannyy,88.19467737214546,,,,
606,la ronge,64.73339362179533,62.6,55,75,4.7
607,quime,-17.16869369301027,65.65,34,0,2.04
608,teguldet,58.342098833796626,53.05,85,0,3.15
609,port blair,10.399308687141883,82.84,96,68,19.48
610,ust-kalmanka,51.879926892292076,69.79,59,76,6.4
611,okitipupa,5.7891289251737135,74.74,98,100,3.94
612,tororo,0.6204617204662668,64.12,93,20,5.95
613,lakes entrance,-40.8711930999495,47.47,92,88,14.67
614,salgueiro,-8.167663499152553,85.09,39,0,12.55
615,gotsu,34.94057713000035,69.52,88,0,3.6
